Date,Bags Picked Up,Location,Attendee Count,Event Name,lat,lon,URL,Photo Link
2/17/2024,5,Ralston Creek Downtown,5,,41.65803667,-91.52878667,https://www.meetup.com/iowa-city-litter-crew/events/298378806/?eventOrigin=group_events_list, 
4/14/2024,4,Downtown Litter Pickup,4,,41.660375,-91.53301167,https://www.meetup.com/iowa-city-litter-crew/events/300112897/, 
4/21/2024,3,South of 6 Litter Pickup,2,,41.639734,-91.521068,https://www.meetup.com/iowa-city-litter-crew/events/300113247/?eventOrigin=group_past_events, 
6/23/2024,2,Sycamore Mall,2,,41.642655,-91.50772833,https://www.meetup.com/iowa-city-litter-crew/events/301693538/?eventOrigin=group_past_events, 
8/24/2024,3,Sycamore Mall,4,,41.642655,-91.50772833,https://www.meetup.com/iowa-city-litter-crew/events/302376763/?eventOrigin=group_past_events, 
9/14/2024,4,Pepperwood Plaza,3,,41.64091944,-91.52075278,https://www.meetup.com/iowa-city-litter-crew/events/303145214/?eventOrigin=group_events_list, 
10/12/2024,5,Pepperwood Plaza,4,,41.64128333,-91.52054167,https://www.meetup.com/iowa-city-litter-crew/events/303588456/, 
11/9/2024,4,Pepperwood Plaza,2,,41.64128333,-91.52054167,https://www.meetup.com/iowa-city-litter-crew/events/304062940/?eventOrigin=group_calendar, 
3/9/2025,8,Pepperwood Plaza,5,,41.64128333,-91.52054167,https://www.meetup.com/iowa-city-litter-crew/events/306524461/?eventOrigin=group_events_list, 
3/16/2025,15,Whispering Meadows Wetland,3,,41.630323,-91.502651,https://www.meetup.com/iowa-city-litter-crew/events/306700738/?eventOrigin=group_events_list, 
3/16/2025,13,Whispering Meadows Wetland,3,,41.630323,-91.502651,https://www.meetup.com/iowa-city-litter-crew/events/306700738/?eventOrigin=group_events_list, 
4/19/2025,5,"310 3rd Ave., Coralville IA",6,,41.673523,-91.568909,https://www.meetup.com/iowa-city-litter-crew/events/307015270/?eventOrigin=group_past_events, 
3/22/2025,8,Whispering Meadows Wetland,9,,41.630323,-91.502651,https://www.meetup.com/iowa-city-litter-crew/events/307809579/?eventOrigin=group_events_list,https://openlittermap.com/global?lat=41.629741666667&lon=-91.499252777778&zoom=17&photoId=546337&load=true
7/12/2025,3,South of 6 Litter Pickup,3,,41.639734,-91.521068,https://www.meetup.com/iowa-city-litter-crew/events/308583267/?eventOrigin=group_events_list, 
8/17/2025,6,Westwinds Trail,8,,41.65102778,-91.57521944,https://www.meetup.com/iowa-city-litter-crew/events/310421942/?eventOrigin=group_past_events, 
10/5/2025,10,Terry Trueblood,10,,41.62701715,-91.53008394,https://www.meetup.com/iowa-city-litter-crew/events/310860787/?eventOrigin=group_upcoming_events, 
10/12/2025,10,Pepperwood Plaza,5,,41.64091944,-91.52075278,https://www.meetup.com/iowa-city-litter-crew/events/311463742/?eventOrigin=group_calendar, 
11/1/2025,13,Ralston Creek Downtown,5,,41.65803667,-91.52878667,https://www.meetup.com/iowa-city-litter-crew/events/311506720/?eventOrigin=group_calendar, 
11/15/2025,22,Whispering Meadows Wetland,5,,41.630323,-91.502651,https://www.meetup.com/iowa-city-litter-crew/events/311657219/?eventOrigin=group_calendar, 
2/8/2026,10,Sycamore Greenway,,,,,https://www.meetup.com/iowa-city-litter-crew/events/313219484/?eventOrigin=group_events_list,https://openlittermap.com/global?lat=41.630572399722&lon=-91.507202199722&zoom=17&photoId=546733&load=true
3/1/2026,14,Whispering Meadows,,,,,,https://openlittermap.com/global?lat=41.6298893&lon=-91.4989896&zoom=17&photoId=546737&load=true
3/7/2026,9,Ralston Creek,,,,,https://www.meetup.com/iowa-city-litter-crew/events/313050062/?eventOrigin=group_events_list,https://openlittermap.com/global?lat=41.659792&lon=-91.528983&zoom=17.00&load=true&photo=546738
4/4/2026,3,Terry Trueblood,,,,,https://www.meetup.com/iowa-city-litter-crew/events/313050220/?eventOrigin=group_events_list, 
4/11/2026,6,Northside Neighborhood,,,,,https://www.meetup.com/iowa-city-litter-crew/events/313702192/?eventOrigin=group_events_list,https://openlittermap.com/global?lat=41.666836111111&lon=-91.527213888889&zoom=17&photoId=546734&load=true
4/19/2026,25,Whispering Meadows,,,,,https://www.meetup.com/iowa-city-litter-crew/events/313050261/?eventOrigin=group_events_list,https://openlittermap.com/global?lat=41.629791666667&lon=-91.498977777778&zoom=17&photoId=546328&load=true
5/2/2026,7,Bowery Steet,,,,,https://www.meetup.com/iowa-city-litter-crew/events/314352910/?eventOrigin=group_events_list,https://openlittermap.com/global?lat=41.653108699722&lon=-91.5295262&zoom=17&photoId=546735&load=true
5/30/2026,4,Sycamore Mall,,,,,https://www.meetup.com/iowa-city-litter-crew/events/314516247/?eventOrigin=group_events_list,https://openlittermap.com/global?lat=41.641788099722&lon=-91.507475799722&zoom=17&photoId=546736&load=true
6/6/2026,8,Westside Neighborhood,,,,,https://www.meetup.com/iowa-city-litter-crew/events/314767004/?eventOrigin=group_events_list, 
6/27/2026,10,Iowa River Corridor Trail,,,,,https://www.meetup.com/iowa-city-litter-crew/events/315145213/?eventOrigin=group_events_list,https://openlittermap.com/global?lat=41.648890&lon=-91.534669&zoom=17.00&photo=545909&load=true&open=true
8/1/2026,,Wetherby Park Walk,,,,,https://www.meetup.com/iowa-city-litter-crew/events/315146096/?eventOrigin=group_events_list, 
9/6/2026,,Ralston Creek,,,,,https://www.meetup.com/iowa-city-litter-crew/events/315150894/?eventOrigin=group_events_list, 
10/3/2026,,Miller Orchard Neighborhood,,,,,https://www.meetup.com/iowa-city-litter-crew/events/315356586/?eventOrigin=group_events_list, 
