OBJECTID *,Stop Number,Latitude,Longitude,Type,Lights,Trash Can Orig,Trash Can,Color,GlobalID *,Stop_Name
58,7080,41.659477,-91.537787,Shelter,No,No,Trash Can Not Available,#0073e6,{C1A0E494-9AD0-4AEC-9DEA-FFAB80FA45C0},UI Main Library
84,7200,41.660076,-91.531817,Stop,No,No,Trash Can Not Available,#0073e6,{41D4C351-E270-4AFE-AFC0-1B36FD13899D},"Washington St & Linn St - IC Library, Senior Cente"
248,8103,41.656789,-91.544773,Stop,No,No,Trash Can Not Available,#0073e6,{FCE266CA-02D1-4AC1-A9B6-33BB5247249A},Melrose Ave & South Grand Ave
297,8286,41.654151,-91.528665,Stop,No,No,Trash Can Not Available,#0073e6,{5A74BF83-3251-4AEB-97E1-9EFB3AAB1D8F},Bowery St and Van Buren St
264,8122,41.650493,-91.552637,Shelter,Solar,Yes,Trash Can Is Available,#e60073,{6C3D8B40-E512-4DF6-B9D9-4DDF8B92D3FE},Benton St @ Seville Apartments
265,8123,41.650502,-91.554524,Shelter,Solar,Yes,Trash Can Is Available,#e60073,{75A395BD-DAD7-45FB-BC7F-5D47975E956E},Benton St & Oaknoll Dr
33,7027,41.640705,-91.52556,Stop,No,No,Trash Can Not Available,#0073e6,{02F91C79-822B-46A6-898D-37808E46EA07},Southgate @ Keokuk St
247,8102,41.656812,-91.546883,Stop,No,No,Trash Can Not Available,#0073e6,{B6EA883A-423D-4462-BCC7-83A401A81933},UIHC Family Care
263,8121,41.650561,-91.550372,Shelter,No,No,Trash Can Not Available,#0073e6,{CEDC8487-E4E3-4F22-B52B-0A39AA52D2DD},Greenwood Dr & Benton St
66,7105,41.653478,-91.525786,Stop,No,No,Trash Can Not Available,#0073e6,{352496D3-6486-403F-97A8-3A1296B9AB59},Dodge St & Bowery St
114,7248,41.657852,-91.521049,Stop,No,No,Trash Can Not Available,#0073e6,{3B823572-D24E-4874-9F46-132BD879A374},Burlington St & Summit St
135,7307,41.656802,-91.506238,Stop,No,No,Trash Can Not Available,#0073e6,{1D74C7D8-95CE-42DB-921A-781F44532976},Court St & 4th Ave - City High School
245,8100,41.6586,-91.5453,Stop,No,No,Trash Can Not Available,#0073e6,{5D1876C7-9795-4879-9DB4-5710FBCD9A4C},Grand Ave & South Grand Ave - UIHC Emergency Entra
96,7217,41.636211,-91.499507,Shelter,Solar,No,Trash Can Not Available,#0073e6,{0DF33D53-5BF0-4B06-988C-114AAB198030},The Quarters Inbound
29,7018,41.642781,-91.527938,Shelter,Solar,Yes,Trash Can Is Available,#e60073,{89994A06-19DA-4C04-99B0-99347E8D38E8},Boyrum St @ Hy Vee
217,8014,41.644854,-91.550984,Stop,No,No,Trash Can Not Available,#0073e6,{3C1798D0-9D05-4BF0-B575-2359033188CD},Walmart
8,257,41.663428,-91.546027,Shelter,Solar,No,Trash Can Not Available,#0073e6,{04C2AD89-9486-4772-8039-BB16BF24D038},Newton Rd Ramp
271,8203,41.659648,-91.550026,Stop,No,No,Trash Can Not Available,#0073e6,{FF9D9733-4656-47A3-A861-CB5B72E7CE07},"Hawkins Dr - UI Main Hospital, Kinnick Stadium"
9,263,41.662701,-91.543487,Shelter,No,No,Trash Can Not Available,#0073e6,{F22A8507-0D22-4CCA-9B1E-E39CB23C998C},Newton Rd - UI Student Health
